,vid,type,title,year,pic,ratings-obj,ratings,tags,pop_genre,least_pop_genre,x,y,z
0,468688,movie,Sharpshooter,2007,[http://images.adrise.tv/2cYR8K5N0dD-OLiFV9FDvYgum8w=/400x574/smart/img.adrise.tv/7f1c3442-6e31-4cce-95c5-bd1b8b528015.jpg],"[{u'system': u'tvpg', u'value': u'TV-MA'}]",R,"[Action, Thriller]",Action,Thriller,5.417483806610107,-6.195190906524658,-2.458012342453003
1,468689,movie,Roadkill,2011,[http://images.adrise.tv/mrJBYqfXHwq32Fv5SUYfETcf__A=/400x574/smart/img.adrise.tv/018ffb38-ef19-45f0-94ff-b00542cbbbcc.jpg],"[{u'system': u'mpaa', u'value': u'R'}, {u'system': u'tvpg', u'value': u'TV-14'}]",R,"[Horror, Thriller]",Thriller,Horror,-1.6299577951431274,-10.58995246887207,7.592236518859863
2,456938,movie,Out for a Kill,2003,[http://images.adrise.tv/UbWtTrQKP3fQvDMju2N1EGDPQfY=/400x574/smart/img.adrise.tv/4d291334-2477-4e92-bc61-60fa795368b6.jpg],"[{u'system': u'mpaa', u'value': u'R'}]",R,"[Crime, Thriller, Action]",Action,Crime,9.126047134399414,-7.150315284729004,-5.209789276123047
3,467545,movie,The Grandmaster,2013,[http://images.adrise.tv/S7Kyy8Kc8qop4LrAlJ76yhMJVLc=/400x574/smart/img.adrise.tv/0a888e4c-0ea9-4867-b5dd-f6c9a344a4f0.jpg],"[{u'system': u'mpaa', u'value': u'PG-13'}]",PG-13,"[Action, Foreign/International, Drama]",Drama,Foreign/International,8.165266990661621,-5.380232810974121,0.04864870011806488
4,467546,movie,All Creatures Big and Small,2015,[http://images.adrise.tv/3R9zHnsUA7omF8XBy5MMDKcT3T4=/400x574/smart/img.adrise.tv/d1f489aa-118c-4c80-b939-6e198d68cc94.jpg],"[{u'system': u'mpaa', u'value': u'G'}]",G,"[Adventure, Animation, Kids & Family]",Adventure,Animation,-5.002605438232422,13.76469898223877,2.5462379455566406
5,456931,movie,Nine Lives,2004,[http://images.adrise.tv/ePsQWGOOBK2vyQl2JGreJJ1GQdY=/400x574/smart/img.adrise.tv/b1a08a81-b45b-4f19-87ab-02ad7552eaf7.jpg],"[{u'system': u'mpaa', u'value': u'R'}]",R,"[Thriller, Action]",Action,Thriller,8.091980934143066,-7.754420757293701,-6.201410293579102
6,463221,movie,No Regrets,2015,[http://images.adrise.tv/3xYwtcr1XnkRQ3Ws-ZQiW2QHne0=/400x574/smart/img.adrise.tv/c1c000c8-ea6a-4c4a-a353-72c88c18a627.jpg],"[{u'system': u'tvpg', u'value': u'TV-14'}]",PG-13,"[Comedy, Drama, Romance]",Drama,Romance,6.921235084533691,6.22553014755249,-13.373377799987793
7,011,series,Transformers Generation 1,1985,[http://images.adrise.tv/Q7N97TP4AKS3COmXOGU4Qo4OVwY=/400x574/smart/img.adrise.tv/ec2e6d2f-538b-4b74-997a-4e56c3783676.png],"[{u'system': u'tvpg', u'value': u'TV-G'}]",G,"[Kids & Family, Sci-Fi, Animation]",Sci-Fi,Animation,-4.378312587738037,13.528693199157715,8.696621894836426
8,341530,movie,Naked Ambition: An R Rated Look at an X Rated Industry,2014,[http://images.adrise.tv/ooM3MLipwYwYUCtODycMXEagclY=/400x574/smart/img.adrise.tv/e7735c94-4b54-4461-b1ac-109642a37211.jpg],"[{u'system': u'mpaa', u'value': u'R'}]",R,[Documentary],Documentary,Documentary,-13.533543586730957,-0.6434684991836548,5.949301242828369
9,303155,movie,Paranormal Activity 2,2010,[http://images.adrise.tv/RkPrN0OOZVtMuWN-M4cPaJw18CA=/400x574/smart/img.adrise.tv/df454274-b9f6-436b-84dd-0d7089eb34e2.png],"[{u'system': u'mpaa', u'value': u'R'}]",R,[Horror],Horror,Horror,0.7108388543128967,-19.15842628479004,4.100772380828857
